30 8

162.519 1069.7 55.789 196.906 3894.9 6470.51 2.635 1.55 
113.073 753.16 70.677 61.947 1033.9 7490.32 1.986 0.59 
245.158 3962.42 163.839 178.782 536 2288.19 1.276 0.14 
112.376 1738.9 70.731 104.945 147.6 1522.79 0.242 0.08 
143.599 1249.3 103.652 54.426 119.4 342.36 0.209 0.05 
222.267 2364.9 177.263 155.296 959.6 4150.24 2.278 0.28 
105.688 1337.8 74.417 58.843 220.5 746.94 0.223 0.13 
125.82 1977.8 74.754 81.979 385.1 318.89 0.789 0.2 
191.957 1104.33 49.621 179.582 4373.1 10326.4 9.359 1.47 
491.103 4758.23 266.926 261.118 5397.6 43928.9 13.953 0.71 
323.189 3680 141.853 239.452 3094 25355.1 9.657 0.62 
153.007 4120.9 124.557 92.613 313.4 2344.05 0.762 0.13 
175.602 2459.99 99.109 92.158 1435.6 7957.5 4.144 0.53 
117.028 2532.6 90.876 71.531 315.6 1301.04 0.977 0.17 
453.619 6485.6 267.497 223.057 2359.9 17688 5.614 0.34 
269.31 6198 177.69 147.022 326.4 2176.17 0.859 0.08 
196.323 3672 125.573 113.434 335.2 1614.37 0.872 0.11 
196.696 4005.03 118.809 106.234 190 1814.5 0.442 0.06 
532.103 5960.74 170.692 410.616 9134.8 56849.1 23.742 1.11 
117.209 2936 79.907 66.822 233.5 641.55 0.556 0.13 
25.227 459.22 16.572 18.885 127.6 185.49 0.113 0.33 
100.114 1590.16 74.734 70.117 292.2 3928.45 0.886 0.19 
210.267 4785.5 142.222 162.007 477.8 1233.51 1.297 0.15 
57.018 1792.8 42.359 39.441 48.8 308.65 0.134 0.06 
88.931 2857.24 61.91 66.849 160.5 257.76 0.423 0.12 
125.123 2059.02 94.311 92.209 146.2 408.45 0.313 0.08 
50.204 1500.3 39.658 42.5 87.4 300.89 0.096 0.11 
16.704 309.18 14.356 10.488 9.2 0.3 0.03 0.04 
21.022 339.6 16.447 13.563 22.9 197 0.071 0.07 
66.101 953.34 46.321 44.409 228.2 83.39 0.751 0.22 
